predict score,label
0.000881775,0
0.991961726,1
0.000320119,0
0.990790975,1
0.005664973,0
0.922963699,1
0.00023499,0
0.990245839,1
1.37E-05,0
0.994959788,1
0.004846992,0
0.994709408,1
5.92E-10,0
0.990683667,1
0.001161249,0
0.995298135,1
0.000394609,0
0.995213028,1
0.015970476,0
0.987080562,1
0.486809665,0
0.997662016,1
0.166329599,0
0.98283747,1
0.892800343,0
0.926702956,1
0.007643169,0
0.607405371,1
0.003246435,0
0.800712546,1
0.023526972,0
0.801477166,1
0.002866982,0
0.799312437,1
0.096577026,0
0.808317749,1
0.139252946,0
0.809848897,1
0.401316739,0
0.840859377,1
7.86E-06,0
0.990673776,1
0.027243458,0
0.972388538,1
0.416541469,0
0.988471655,1
0.002206529,0
0.768757804,1
0.001734476,0
0.973161511,1
0.029575026,0
0.969550216,1
2.47E-05,0
0.959615548,1
0.008102321,0
0.972532801,1
0.080585042,0
0.974562895,1
0.004434049,0
0.932979985,1
0.09279053,0
0.66268542,1
0.898216101,0
0.866023425,1
0.158961004,0
0.229541641,1
0.31660065,0
0.99601233,1
0.001313625,0
0.951106302,1
1.26E-10,0
0.98016212,1
2.55E-06,0
0.499287742,1
0.002975641,0
0.966397623,1
0.086590925,0
0.990330593,1
0.34670555,0
0.995481642,1
0.013167618,0
0.975816425,1
3.91E-09,0
0.986705939,1
0.465609216,0
0.830907647,1
0.094384044,0
0.981619998,1
0.209685934,0
0.805550917,1
3.78E-10,0
0.948005517,1
0.20472668,0
0.886153221,1
5.33E-08,0
0.983956146,1
0.350140736,0
0.991366617,1
0.0001061,0
0.730121636,1
0.093899918,0
0.197843098,1
0.307363481,0
0.934553913,1
0.163117568,0
0.971801078,1
0.017330292,0
0.991082426,1
0.008942853,0
0.989261075,1
0.100286445,0
0.991248604,1
0.038811565,0
0.857708669,1
0.052439082,0
0.469344438,1
4.61E-05,0
0.994794802,1
0.007448183,0
0.967449204,1
7.59E-05,0
0.988907433,1
0.047594879,0
0.885269924,1
0.014513361,0
0.271018801,1
0.12661352,0
0.989651632,1
0.017750439,0
0.732236139,1
0.001202055,0
0.263040492,1
1.93E-06,0
0.99191339,1
0.015407908,0
0.944925364,1
4.64E-06,0
0.813667087,1
0.862669726,0
0.977499807,1
0.002943137,0
0.936780469,1
0.051138014,0
0.926096364,1
0.374983853,0
0.977844354,1
0.000145704,0
0.918371491,1
0.003833753,0
0.933447703,1
0.097241364,0
0.315809731,1
0.17975338,0
0.901027989,1
0.018365944,0
0.919412148,1
0.089167974,0
0.98707329,1
0.001097697,0
0.984722555,1
1.50E-05,0
0.969728462,1
0.978399531,0
0.999006649,1
0.000933211,0
0.998993043,1
0.070719545,0
0.999282563,1
0.022786809,0
0.974846462,1
0.263667327,0
0.573402224,1
0.041340807,0
0.266483658,1
0.006184968,0
0.976293353,1
0.894425301,0
0.979828151,1
5.03E-07,0
0.922623849,1
0.007933606,0
0.42131721,1
0.448077869,0
0.816970416,1
0.002921916,0
0.797757328,1
0.007461253,0
0.470060367,1
0.794294544,0
0.980200545,1
0.003652499,0
0.973713501,1
0.000406032,0
0.455454967,1
0.006101997,0
0.930558741,1
0.091026295,0
0.972885402,1
0.003946097,0
0.818412121,1
0.587038771,0
0.966044009,1
0.101564195,0
0.927637911,1
0.564344559,0
0.986641053,1
0.0002902,0
0.777261114,1
0.002642175,0
0.989989487,1
0.285527393,0
0.308676367,1
0.001423736,0
0.979062108,1
0.04442173,0
0.98960162,1
2.91E-05,0
0.554163053,1
0.431403553,0
0.250434928,1
0.020720675,0
0.724655688,1
0.003302263,0
0.753185288,1
0.049346313,0
0.929450254,1
0.150118372,0
0.942381704,1
0.074373151,0
0.984542851,1
0.000220631,0
0.923674194,1
0.148775721,0
0.9430884,1
0.667530994,0
0.990016246,1
0.092426244,0
0.981405846,1
